GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
GRB 251014A,GRB251014020,0.00000,97,2025-10-14 00:26:14.142,<a href=yr25/GRB251014020.html>details</a>,111.732,6.415,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 251013D,GRB251013762,0.00000,97,2025-10-13 18:14:47.266,<a href=yr25/GRB251013762.html>details</a>,46.901,8.8,4.998,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 251013C,GRB251013736,0.00000,97,2025-10-13 17:37:28.819,<a href=yr25/GRB251013736.html>details</a>,345.836,-0.21,0.06,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251013B,GRB251013350,0.00032,97,2025-10-13 08:22:14.281,<a href=yr25/GRB251013350.html>details</a>,356.54,7.51,344.40000000000003,"Fermi, GBM              ",,,,,,
GRB 251013A,GRB251013336,0.78214,97,2025-10-13 08:01:46.525,<a href=yr25/GRB251013336.html>details</a>,19.93,-1.59,154.8,"Fermi, GBM              ",,,,,,unexamined
GRB 251012A,GRB251012616,0.00000,97,2025-10-12 14:44:15.170,<a href=yr25/GRB251012616.html>details</a>,291.62,7.46,593.4000000000001,"Fermi, GBM              ",,,,,,
GRB 251011C,GRB251011925,0.00000,97,2025-10-11 22:09:02.599,<a href=yr25/GRB251011925.html>details</a>,164.68,-2.89,274.8,"Fermi, GBM              ",,,,,,
GRB 251011B,GRB251011297,0.00000,97,2025-10-11 07:06:04.952,<a href=yr25/GRB251011297.html>details</a>,13.2352,-62.0327,0.066,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251011A,GRB251011154,0.00000,97,2025-10-11 03:39:23.509,<a href=yr25/GRB251011154.html>details</a>,4.7878,45.1894,4.998,"Swift, BAT              ",-1,-1,-1,-1,,
GRB 251010A,GRB251010739,0.00000,97,2025-10-10 17:42:14.651,<a href=yr25/GRB251010739.html>details</a>,214.0,56.56,270.0,"Fermi, GBM              ",,,,,,
